Subhead,Description,Canada,,USA,,Mexico,
1604.11,"Salmon prepared or preserved, whole or in pieces, but not",1604.11.00,A,1604.11.20,A,1604.11.01,A
,,,,1604.11.40,A,,
,,,,,,,
1604.12,"Herrings, prepared or preserved, whole or in pieces but not",1604.12.10,D,1604.12.20,A,1604.12.01,A
,,1604.12.91,A,1604.12.40,A,,
,,1604.12.92,A,1604.12.60,D,,
,,1604.12.99,A,,,,
,,,,,,,
1604.13,"Sardines,sardinella & brisling or sprats prep or presvd, whole",1604.13.10,C,1604.13.10,C,1604.13.01,C
,,1604.13.90,C,1604.13.20,C,1604.13.99,C
,,,,1604.13.30,C,,
,,,,1604.13.40,A,,
,,,,1604.13.45,A,,
,,,,1604.13.50,A,,
,,,,,,,
1604.14,"Tunas,skipjack & Atl bonito, prepared or preserved,whole or in",1604.14.11,Bg,1604.14.10,C+,1604.14.01,C+
,,1604.14.12,Bg,1604.14.20,C+,1604.14.99,C+
,,1604.14.90,Bg,1604.14.30,C+,,
,,,,1604.14.40,C+,,
,,,,1604.14.50,A,,
,,,,1604.14.70,C,,
,,,,1604.14.80,C,,
,,,,,,,
1604.15,"Mackerel, prepared or preserved, whole or in pieces, but not",1604.15.00,A,1604.15.00,A,1604.15.01,A
,,,,,,,
1604.16,"Anchovies, prepared or preserved, whole or in pieces, but not",1604.16.10,A,1604.16.10,A,1604.16.01,A
,,1604.16.90,A,1604.16.30,A,1604.16.99,A
,,,,1604.16.40,A,,
,,,,1604.16.60,D,,
,,,,,,,
1604.19,"Fish nes, prepared or preserved, whole or in pieces, but not",1604.19.10,Bg,1604.19.10,B,1604.19.99,B
,,1604.19.90,Bg,1604.19.20,A,,
,,,,1604.19.25,B,,
,,,,1604.19.30,A,,
,,,,1604.19.40,B,,
,,,,1604.19.50,B,,
,,,,1604.19.60,D,,
,,,,,,,
,,,,1604.19.80,A,,
,,,,,,,
1604.20,"Fish prepared or preserved, except whole or in pieces",1604.20.10,Bg,1604.20.05,A,1604.20.99,B
,,1604.20.90,Bg,1604.20.10,D,,
,,,,1604.20.15,B,,
,,,,1604.20.20,D,,
,,,,1604.20.25,B,,
,,,,1604.20.30,B,,
,,,,1604.20.40,B,,
,,,,1604.20.50,B,,
,,,,1604.20.60,B,,
,,,,,,,
1604.30,Caviar and caviar substitutes prepared from fish eggs,1604.30.00,A,1604.30.20,A,1604.30.01,A
,,,,1604.30.30,A,1604.30.99,A
,,,,1604.30.40,D,,
,,,,,,,
1605.10,"Crab, prepared or preserved",1605.10.00,Bg,1605.10.05,A,1605.10.01,B
,,,,1605.10.20,A,,
,,,,1605.10.40,A,,
,,,,1605.10.60,D,,
,,,,,,,
1605.20,"Shrimps and prawns,prepared or preserved",1605.20.00,D,1605.20.05,A,1605.20.01,B
,,,,1605.20.10,D,,
,,,,,,,
1605.30,"Lobster, prepared or preserved",1605.30.10,Bg,1605.30.05,A,1605.30.01,B
,,1605.30.91,D,1605.30.10,D,,
,,1605.30.99,Bg,,,,
,,,,,,,
1605.40,"Crustaceans nes, prepared or preserved",1605.40.10,A,1605.40.05,A,1605.40.01,A
,,1605.40.90,A,1605.40.10,D,1605.40.99,A
,,,,,,,
1605.90,Molluscs and other aquatic invertebrates prepared or preserved,1605.90.10,A,1605.90.05,A,1605.90.99,A
,,1605.90.91,D,1605.90.06,A,,
,,1605.90.92,A,1605.90.10,A,,
,,1605.90.93,A,1605.90.20,A,,
,,1605.90.94,A,1605.90.30,D,,
,,1605.90.99,A,1605.90.40,D,,
,,,,1605.90.50,A,,
,,,,1605.90.55,A,,
,,,,1605.90.60,D,,
,,,,,,,
1701.11,"Raw sugar, cane",1701.11.10,Su,g  1701.11.01,Sug,1701.11.01,Sug
,,1701.11.20,Su,g  1701.11.02,Sug,1701.11.99,Sug
,,1701.11.30,Su,g  1701.11.03,Sug,,
,,1701.11.40,Su,g,,,
,,1701.11.50,Su,g,,,
,,,,,,,
1701.12,"Raw sugar, beet",1701.12.00,Su,g  1701.12.01,Sug,1701.12.01,Sug
,,,,1701.12.02,Sug,1701.12.99,Sug
,,,,,,,
1701.91,"Refined sugar, in solid form, containing added flavouring or",1701.91.00,Su,g  1701.91.21,Sug,1701.91.01,Sug
,,,,,,,
,,,,1701.91.22,Sug,,
,,,,1701.91.40,Sug,,
,,,,,,,
1701.99,"Refined sugar, in solid form, nes",1701.99.00,Su,g  1701.99.01,Sug,1701.99.01,Sug
,,,,1701.99.02,Sug,1701.99.99,Sug
,,,,,,,
1702.10,Lactose and lactose syrup,1702.10.00,Bg,1702.10.00,A,1702.10.01,C
,,,,,,1702.10.02,C
,,,,,,1702.10.99,C
,,,,,,,
1702.20,Maple sugar and maple syrup,1702.20.00,D,1702.20.20,A,1702.20.01,C
,,,,1702.20.40,D,,
,,,,,,,
1702.30,Glucose & glucose syrup not cntg fruct or cntg in dry state <,1702.30.00,Bg,1702.30.20,A,1702.30.01,C
,,,,1702.30.40,A,1702.30.99,C
,,,,,,,
1702.40,Glucose inc syrup cntg in dry state at least 20% but < 50% by,1702.40.00,Bg,1702.40.00,A,1702.40.01,C
,,,,,,1702.40.99,C
,,,,,,,
1702.50,"Fructose, chemically pure",1702.50.00,D,1702.50.00,C,1702.50.01,C
,,,,,,,
1702.60,"Fructose & fructose syrup nes, cntg in dry state > 50% by",1702.60.00,Bg,1702.60.00,A,1702.60.01,C
,,,,,,,
1702.90,"Sugar nes, including invert sugar",1702.90.10,Bg,1702.90.31,Sug,1702.90.01,Sug
,,1702.90.20,Bg,1702.90.32,Sug,1702.90.99,Sug
,,1702.90.31,Su,g  1702.90.35,A,,
,,1702.90.32,Su,g  1702.90.40,A,,
,,1702.90.33,Su,g  1702.90.50,A,,
,,1702.90.34,Su,g,,,
,,1702.90.35,Su,g,,,
,,1702.90.36,Su,g,,,
,,1702.90.37,Su,g,,,
,,1702.90.38,Su,g,,,
,,1702.90.40,Su,g,,,
,,1702.90.50,Bg,,,,
,,1702.90.60,Bg,,,,
,,1702.90.90,Bg,,,,
,,,,,,,
1703.10,Cane molasses,1703.10.10,A,1703.10.30,A,1703.10.01,Sug
,,1703.10.20,A,1703.10.50,A,1703.10.02,Sug
,,1703.10.30,A,,,,
,,1703.10.90,D,,,,
,,,,,,,
1703.90,Molasses nes,1703.90.10,Bg,1703.90.30,A,1703.90.99,Sug
,,1703.90.20,Bg,1703.90.50,A,,
,,1703.90.90,Bg,,,,
,,,,,,,
1704.10,"Chewing gum containing sugar, except medicinal",1704.10.00,C,1704.10.00,A,1704.10.01,C
,,,,,,,
1704.90,"Sugar confectionery nes (including white chocolate), not",1704.90.10,D,1704.90.10,B,1704.90.99,C
,,1704.90.20,C,1704.90.20,A,,
,,,,,,,
,,1704.90.30,C,1704.90.40,C,,
,,1704.90.90,C,1704.90.60,C,,
,,,,,,,
1801.00,"Cocoa beans, whole or broken, raw or roasted",1801.00.00,D,1801.00.00,D,1801.00.01,A
,,,,,,,
1802.00,"Cocoa shells, husks, skins and other cocoa waste",1802.00.00,D,1802.00.00,D,1802.00.01,A
,,,,,,,
1803.10,Cocoa paste not defatted,1803.10.00,D,1803.10.00,D,1803.10.01,A
,,,,,,,
1803.20,Cocoa paste wholly or partly defatted,1803.20.00,D,1803.20.00,A,1803.20.01,A
,,,,,,,
1804.00,"Cocoa butter, fat and oil",1804.00.00,D,1804.00.00,D,1804.00.01,A
,,,,,,,
1805.00,"Cocoa powder, not containing added sugar or other sweetening",1805.00.00,Bg,1805.00.00,A,1805.00.01,A
,,,,,,,
1806.10,"Cocoa powder, containing added sugar or other sweetening matte",1806.10.00,Su,g  1806.10.20,C,1806.10.01,Sug
,,,,1806.10.30,A,,
,,,,1806.10.41,Sug,,
,,,,1806.10.42,Sug,,
,,,,,,,
1806.20,Chocolate and other food preparations containing cocoa weighin,1806.20.10,D,1806.20.20,D,1806.20.01,C
,,1806.20.20,Bg,1806.20.40,A,,
,,1806.20.90,Bg,1806.20.60,A,,
,,,,1806.20.70,A,,
,,,,1806.20.80,C,,
,,,,,,,
1806.31,"Choc & food prep cntg cocoa in blocks, slabs or bars,filled,",1806.31.00,Bg,1806.31.00,A,1806.31.01,C
,,,,,,,
1806.32,"Choc & food prep cntg cocoa in blocks, slabs or bars, not",1806.32.00,Bg,1806.32.20,A,1806.32.01,C
,,,,1806.32.40,A,,
,,,,,,,
1806.90,Chocolate and other food preparations containing cocoa nes,1806.90.00,Bg,1806.90.00,A,1806.90.99,C
,,,,,,,
1901.10,"Prep of cereals, flour, starch or milk for infant use, put up",1901.10.10,Bg,1901.10.00,C,1901.10.01,C
,,1901.10.20,Bg,,,,
,,,,,,,
1901.20,Mixes & doughs for the prep of bakers' wares of heading No,1901.20.10,Bg,1901.20.00,A,1901.20.01,B
,,1901.20.20,Bg,,,1901.20.99,B
,,,,,,,
1901.90,Malt extract & food prep of Ch 19 < 50% cocoa & hd 04.01 to,1901.90.10,Bg,1901.90.10,A,1901.90.01,C
,,1901.90.21,Bg,1901.90.20,B,1901.90.02,B
,,1901.90.22,Bg,1901.90.25,D,1901.90.99,B
,,1901.90.30,C,1901.90.2X,A,,
,,,,1901.90.30,C,,
,,,,1901.90.40,C,,
,,,,1901.90.80,C,,
,,,,1901.90.90,C,,
,,,,,,,
1902.11,"Uncooked pasta not stuffed or otherwise prepared, containing",1902.11.00,Bg,1902.11.20,D,1902.11.01,C
,,,,1902.11.40,A,,
,,,,,,,
,,,,,,,
1902.19,"Uncooked pasta, not stuffed or otherwise prepared, nes",1902.19.10,D,1902.19.20,D,1902.19.99,C
,,1902.19.90,Bg,1902.19.40,A,,
,,,,,,,
1902.20,"Stuffed pasta, whether or not cooked or otherwise prepared",1902.20.00,Bg,1902.20.00,A,1902.20.01,B
,,,,,,,
1902.30,Pasta nes,1902.30.10,Bg,1902.30.00,A,1902.30.01,B
,,1902.30.20,Bg,,,,
,,,,,,,
1902.40,Couscous,1902.40.10,Bg,1902.40.00,A,1902.40.01,B
,,1902.40.20,Bg,,,,
,,,,,,,
1903.00,"Tapioca subst prep from starch in flake, grain, pearl, sifting",1903.00.00,D,1903.00.20,D,1903.00.01,B
,,,,1903.00.40,A,,
,,,,,,,
1904.10,Prep foods obtained by the swelling or roasting of cereal or,1904.10.00,Bg,1904.10.00,A,1904.10.01,C
,,,,,,,
,,,,,,,
1904.90,"Cereals, exc maize (corn),in grain form, pre-cooked or",1904.90.10,Bg,1904.90.00,A,1904.90.99,C
,,1904.90.20,Bg,,,,
,,,,,,,
1905.10,Crispbread,1905.10.10,D,1905.10.00,D,1905.10.01,B
,,1905.10.91,Bg,,,,
,,1905.10.92,Bg,,,,
,,,,,,,
1905.20,Gingerbread and the like,1905.20.00,Bg,1905.20.00,D,1905.20.01,B
,,,,,,,
1905.30,"Sweet biscuits, waffles and wafers",1905.30.10,Bg,1905.30.00,D,1905.30.01,C
,,1905.30.90,Bg,,,,
,,,,,,,
1905.40,"Rusks, toasted bread and similar toasted products",1905.40.10,D,1905.40.00,D,1905.40.01,C
,,1905.40.90,Bg,,,,
,,,,,,,
1905.90,"Communion wafers,empty cachets for pharm use and sim prod and",1905.90.11,D,1905.90.10,D,1905.90.01,A
,,1905.90.12,D,1905.90.90,A,1905.90.99,C
,,1905.90.13,Bg,,,,
,,1905.90.14,Bg,,,,
,,1905.90.21,Bg,,,,
,,1905.90.29,Bg,,,,
,,1905.90.31,Bg,,,,
,,1905.90.39,Bg,,,,
,,1905.90.40,A,,,,
,,1905.90.50,D,,,,
,,1905.90.61,Bg,,,,
,,1905.90.62,Bg,,,,
,,1905.90.90,Bg,,,,
,,,,,,,
2001.10,"Cucumbers and gherkins, prepared or preserved by vinegar or",2001.10.00,Bg,2001.10.00,A,2001.10.01,B
,,,,,,,
2001.20,Onions prepared or preserved by vinegar or acetic acid,2001.20.00,Bg,2001.20.00,A,2001.20.01,C
,,,,,,,
2001.90,"Veg,fruit,nuts & edible parts of plants nes,prep or presvd by",2001.90.10,Bg,2001.90.10,A,2001.90.9X,A
,,2001.90.90,Bg,2001.90.20,C,2001.90.9Y,A
,,,,2001.90.25,A,2001.90.9Z,A
,,,,2001.90.30,A,2001.90.99,A
,,,,2001.90.33,A,,
,,,,2001.90.35,C,,
,,,,2001.90.39,B,,
,,,,2001.90.42,A,,
,,,,2001.90.45,A,,
,,,,2001.90.50,A,,
,,,,2001.90.60,C,,
,,,,,,,
2002.10,"Tomatoes,whole or in pieces prepared or preserved o/t by",2002.10.00,Bg,2002.10.00,C,2002.10.01,A
,,,,,,,
2002.90,"Tomatoes nes,prepared or preserved other than by vinegar or",2002.90.00,Ct,q  2002.90.00,C,2002.90.99,A
,,,,,,,
2003.10,Mushrooms prepared or preserved other than by vinegar or aceti,2003.10.00,Bg,2003.10.00,C,2003.10.01,C
,,,,,,,
,,,,,,,
2003.20,Truffles prepared or preserved other than by vinegar or acetic,2003.20.00,D,2003.20.00,D,2003.20.01,A
,,,,,,,
2004.10,Potatoes prepared or preserved other than by vinegar or acetic,2004.10.00,Bg,2004.10.40,A,2004.10.01,Ctq
,,,,2004.10.80,B,,
,,,,,,,
2004.90,"Veg nes & mx of veg prep or presvd, o/t by vinegar or acetic",2004.90.10,C,2004.90.10,A,2004.90.9X,A
,,2004.90.20,C,2004.90.80,A,2004.90.99,A
,,2004.90.30,Bg,2004.90.90,C,,
,,2004.90.41,Bg,,,,
,,2004.90.49,Bg,,,,
,,2004.90.50,D,,,,
,,2004.90.91,D,,,,
,,2004.90.99,Bg,,,,
,,,,,,,
2005.10,"Homogenized vegetables prep or presvd, o/t by vinegar or aceti",2005.10.00,Bg,2005.10.00,A,2005.10.01,C
,,,,,,,
2005.20,"Potatoes prepared or preserved, o/t by vinegar or acetic acid,",2005.20.00,Bg,2005.20.20,A,2005.20.01,Ctq
,,,,2005.20.60,A,,
,,,,,,,
2005.30,"Sauerkraut prepared or preserved, o/t by vinegar or acetic",2005.30.00,Bg,2005.30.00,B,2005.30.01,A
,,,,,,,
2005.40,"Peas prepared or preserved, other than by vinegar or acetic",2005.40.00,Bg,2005.40.00,D,2005.40.01,B
,,,,,,,
2005.51,"Beans, shelled prepared or preserved,o/t by vinegar or acetic",2005.51.10,Bg,2005.51.20,A,2005.51.01,A
,,2005.51.90,Bg,2005.51.40,A,,
,,,,,,,
2005.59,"Beans nes prepared or preserved, o/t by vinegar or acetic acid",2005.59.00,Bg,2005.59.00,A,2005.59.99,A
,,,,,,,
2005.60,"Asparagus prepared or preserved, o/t by vinegar or acetic acid",2005.60.00,C,2005.60.00,C,2005.60.01,A
,,,,,,,
2005.70,"Olives prepared or preserved,other than by vinegar or acetic",2005.70.10,D,2005.70.11,C,2005.70.01,B
,,2005.70.90,Bg,2005.70.13,C,,
,,,,2005.70.15,C,,
,,,,2005.70.21,C,,
,,,,2005.70.22,C,,
,,,,2005.70.25,C,,
,,,,2005.70.50,C,,
,,,,2005.70.60,C,,
,,,,2005.70.70,C,,
,,,,2005.70.75,C,,
,,,,2005.70.81,C,,
,,,,2005.70.83,C,,
,,,,,,,
2005.80,"Sweet corn prepared or preserved, o/t by vinegar or acetic aci",2005.80.00,Bg,2005.80.00,A,2005.80.01,C
,,,,,,,
2005.90,Veg nes & mix of veg prep or presvd o/t by vinegar or acetic,2005.90.11,Bg,2005.90.10,A,2005.90.9X,B
,,2005.90.19,Bg,2005.90.20,A,2005.90.99,B
,,2005.90.20,D,2005.90.40,D,,
,,2005.90.91,D,2005.90.50,C,,
,,2005.90.99,Bg,2005.90.55,C,,
,,,,2005.90.60,D,,
,,,,,,,
,,,,2005.90.80,C,,
,,,,2005.90.85,A,,
,,,,2005.90.87,A,,
,,,,2005.90.95,A,,
,,,,,,,
2006.00,"Fruits, nuts, fruit-peel & pts of plants presvd by sugar",2006.00.10,Bg,2006.00.20,B,2006.00.01,B
,,2006.00.20,A,2006.00.30,A,,
,,2006.00.90,D,2006.00.40,B,,
,,,,2006.00.50,B,,
,,,,2006.00.60,B,,
,,,,2006.00.70,A,,
,,,,2006.00.90,A,,
,,,,,,,
2007.10,"Homo prep (jams, fruit jellies etc) ckd prep whether or not",2007.10.00,Bg,2007.10.00,B,2007.10.01,C
,,,,,,,
2007.91,"Citrus fruit (marmalades, pur?ÇÜe,etc) ckd prep whether or not",2007.91.,0,A    2007.91.,10 C,2007.91.,01 C
,,,,2007.91.40,C,,
,,,,2007.91.90,A,,
,,,,,,,
2007.99,"Jams,fruit jellies, fruit or nut pur?ÇÜe & paste, ckd",2007.99.,10,C    2007.99.,5:00 AM,2007.99.,1:00 AM
,,2007.99.20,D,2007.99.10,A,2007.99.02,A
,,2007.99.90,Bg,2007.99.15,B,2007.99.03,A
,,,,2007.99.20,A,2007.99.04,C
,,,,2007.99.25,A,2007.99.99,A
,,,,2007.99.30,D,,
,,,,2007.99.35,B,,
,,,,2007.99.40,A,,
,,,,2007.99.45,A,,
,,,,2007.99.48,A,,
,,,,2007.99.50,A,,
,,,,2007.99.55,B,,
,,,,2007.99.60,C,,
,,,,2007.99.65,C,,
,,,,2007.99.70,B,,
,,,,2007.99.75,A,,
,,,,,,,
2008.11,"Ground-nuts nes o/w prep or presvd, sugared, sweetened,",2008.11.10,A,2008.11.00,C+,2008.11.01,C
,,2008.11.90,A,,,,
,,,,,,,
2008.19,"Nuts and seeds nes incl mx, o/w prep or presvd, sugared,",2008.19.10,D,2008.19.10,D,2008.19.9X,A
,,2008.19.90,A,2008.19.15,A,2008.19.99,C
,,,,2008.19.20,A,,
,,,,2008.19.25,A,,
,,,,2008.19.30,A,,
,,,,2008.19.40,A,,
,,,,2008.19.50,B,,
,,,,2008.19.85,B,,
,,,,2008.19.90,A,,
,,,,,,,
2008.20,"Pineapples nes, o/w prep or presvd, sugared, sweetened,",2008.20.00,D,2008.20.00,A,2008.20.01,C
,,,,,,,
,,,,,,,
2008.30,"Citrus fruits nes, o/w prep or presvd, sugared, sweetened,",2008.30.10,D,2008.30.10,A,2008.30.0S,A
,,2008.30.90,D,2008.30.20,B,2008.30.0T,A
,,,,2008.30.30,B,2008.30.0U,A
,,,,2008.30.35,C,2008.30.0V,A
,,,,2008.30.37,A,2008.30.0W,A
,,,,2008.30.40,C,2008.30.0X,A
,,,,2008.30.52,D,2008.30.0Y,A
,,,,2008.30.54,A,2008.30.0Z,A
,,,,2008.30.55,B,2008.30.01,A
,,,,2008.30.60,A,,
,,,,2008.30.65,C,,
,,,,2008.30.70,B,,
,,,,2008.30.80,A,,
,,,,2008.30.85,C,,
,,,,2008.30.95,A,,
,,,,,,,
2008.40,"Pears nes, o/w prep or presvd whether or not sugared,",2008.40.10,Bg,2008.40.00,B,2008.40.01,B
,,2008.40.90,Bg,,,,
,,,,,,,
2008.50,"Apricots nes, o/w prep or presvd whether or not sugared,",2008.50.10,Bg,2008.50.20,B,2008.50.01,B
,,2008.50.90,Bg,2008.50.40,A,,
,,,,,,,
2008.60,"Cherries nes, o/w prep or presvd whether or not sugared,",2008.60.10,Bg,2008.60.00,A,2008.60.01,A
,,2008.60.90,Bg,,,,
,,,,,,,
2008.70,"Peaches nes, o/w prep or presvd whether or not sugared,",2008.70.10,Bg,2008.70.00,C,2008.70.01,C
,,2008.70.90,Bg,,,,
,,,,,,,
2008.80,"Strawberries nes, o/w prep or presvd, whether or not",2008.80.10,Bg,2008.80.00,B,2008.80.01,A
,,2008.80.90,Bg,,,,
,,,,,,,
2008.91,"Palm hearts nes, o/w prep or presvd, whether or not",2008.91.10,D,2008.91.00,A,2008.91.01,A
,,2008.91.90,A,,,,
,,,,,,,
2008.92,"Fruit mixtures nes, o/w prep or presvd, whether or not sugared",2008.92.10,D,2008.92.10,C,2008.92.01,B
,,2008.92.90,Bg,2008.92.90,B,,
,,,,,,,
2008.99,"Fruits & other edible pts of plants nes, prep or presvd,sug,",2008.99.11,Bg,2008.99.05,A,2008.99.9X,B
,,2008.99.19,Bg,2008.99.10,C,2008.99.99,B
,,2008.99.91,A,2008.99.13,A,,
,,2008.99.92,D,2008.99.15,A,,
,,2008.99.99,Bg,2008.99.18,A,,
,,,,2008.99.20,A,,
,,,,2008.99.23,A,,
,,,,2008.99.25,B,,
,,,,2008.99.28,A,,
,,,,2008.99.29,A,,
,,,,2008.99.30,D,,
,,,,2008.99.35,A,,
,,,,2008.99.40,A,,
,,,,2008.99.42,C,,
,,,,,,,
,,,,2008.99.45,A,,
,,,,2008.99.50,A,,
,,,,2008.99.60,C,,
,,,,2008.99.61,A,,
,,,,2008.99.63,A,,
,,,,2008.99.65,A,,
,,,,2008.99.80,A,,
,,,,2008.99.90,A,,
,,,,,,,
2009.11,"Orange juice,unfermented & not spirited, whether or not sugare",2009.11.10,D,2009.11.00,C+,2009.11.01,A
,,2009.11.90,A,,,,
,,,,,,,
2009.19,"Orange juice nes, unfermented and not spirited,whether or not",2009.19.10,D,2009.19.20,C+,2009.19.99,A
,,2009.19.90,Bg,2009.19.40,C+,,
,,,,,,,
2009.20,"Grapefruit juice, unfermented and not spirited,whether or not",2009.20.10,D,2009.20.20,C,2009.20.01,A
,,2009.20.90,A,2009.20.40,C,,
,,,,,,,
2009.30,"Citrus fruit juice nes exc mx unferment unspirited, whether or",2009.30.00,D,2009.30.10,A,2009.30.0X,A
,,,,2009.30.20,A,2009.30.0Y,A
,,,,2009.30.40,C,2009.30.01,A
,,,,2009.30.60,C,,
,,,,,,,
2009.40,"Pineapple juice, unfermented and not spirited,whether or not",2009.40.00,D,2009.40.20,C,2009.40.0X,A
,,,,2009.40.40,B,2009.40.0Y,A
,,,,,,,
2009.50,"Tomato juice unfermented and not spirited,whether or not",2009.50.00,C,2009.50.00,A,2009.50.01,A
,,,,,,,
2009.60,"Grape juice (incl grape must) unferment & unspirited,whether o",2009.60.10,D,2009.60.00,C,2009.60.01,C
,,2009.60.90,Bg,,,,
,,,,,,,
2009.70,Apple juice unfermented and not spirited whether or not sugare,2009.70.10,Bg,2009.70.00,D,2009.70.01,C
,,2009.70.91,Bg,,,,
,,2009.70.99,Bg,,,,
,,,,,,,
2009.80,"Fruit & veg juice nes (exc mx) unferment unspirited, whether o",2009.80.11,D,2009.80.20,D,2009.80.01,B
,,2009.80.12,Bg,2009.80.40,B,,
,,2009.80.19,Bg,2009.80.60,A,,
,,2009.80.20,Bg,2009.80.80,A,,
,,,,,,,
2009.90,Mixtures of juices unfermented and not spirited whether or not,2009.90.10,D,2009.90.20,A,2009.90.0X,A
,,2009.90.20,A,2009.90.40,C,2009.90.01,A
,,2009.90.30,Bg,,,,
,,2009.90.40,Bg,,,,
,,,,,,,
2101.10,"Coffee extracts, essences & concentrates and preparations",2101.10.00,A,2101.10.20,D,2101.10.01,C
,,,,2101.10.40,A,,
,,,,,,,
2101.20,"Tea or mat?ÇÜ extracts, essences and concentrates and",2101.20.,0,D    2101.20.,20 D,2101.20.,01 C
,,,,2101.20.40,A,,
,,,,,,,
,,,,,,,
2101.30,"Chicory & other coffee substitutes roasted & extracts, ess and",2101.30.10,D,2101.30.00,A,2101.30.01,C
,,2101.30.90,A,,,,
,,,,,,,
2102.10,"Yeasts, active",2102.10.10,A,2102.10.00,A,2102.10.01,A
,,2102.10.20,A,,,2102.10.02,A
,,,,,,2102.10.99,A
,,,,,,,
2102.20,"Yeasts, inactive and other dead singlecell micro-organisms",2102.20.00,D,2102.20.20,A,2102.20.01,B
,,,,2102.20.40,D,2102.20.99,B
,,,,2102.20.60,A,,
,,,,,,,
2102.30,"Baking powders, prepared",2102.30.00,Bg,2102.30.00,D,2102.30.01,A
,,,,,,,
2103.10,Soya sauce,2103.10.00,Bg,2103.10.00,A,2103.10.01,C
,,,,,,,
2103.20,Tomato ketchup and other tomato sauces,2103.20.00,C,2103.20.20,A,2103.20.0X,B
,,,,2103.20.40,C,2103.20.01,B
,,,,,,,
2103.30,Mustard flour and meal and prepared mustard,2103.30.10,A,2103.30.20,D,2103.30.01,A
,,2103.30.20,Bg,2103.30.40,A,2103.30.02,A
,,,,,,,
2103.90,Sauces and preparations nes and mixed condiments and mixed,2103.90.10,Bg,2103.90.20,D,2103.90.99,C
,,2103.90.20,Bg,2103.90.40,A,,
,,2103.90.90,Bg,2103.90.60,A,,
,,,,,,,
2104.10,Soups and broths and preparations thereof,2104.10.00,Bg,2104.10.00,A,2104.10.01,B
,,,,,,,
2104.20,Homogenised composite food preparations put up for retail sale,2104.20.00,Bg,2104.20.00,A,2104.20.01,B
,,,,,,,
2105.00,"Ice cream and other edible ice, whether or not containing coco",2105.00.00,Ex,2105.00.00,C,2105.00.01,EX
,,,,,,,
2106.10,Protein concentrates and textured protein substances,2106.10.00,A,2106.10.00,A,2106.10.01,C
,,,,,,2106.10.02,C
,,,,,,2106.10.03,C
,,,,,,2106.10.99,C
,,,,,,,
2106.90,Food preparations nes,2106.90.10,D,2106.90.05,A,2106.90.01,C
,,2106.90.20,Su,g  2106.90.11,Sug,2106.90.02,C
,,2106.90.30,Bg,2106.90.12,Sug,2106.90.03,C
,,2106.90.40,D,2106.90.15,C,2106.90.04,C
,,2106.90.50,Bg,2106.90.16,C+,2106.90.05,Sug
,,2106.90.60,Bg,2106.90.19,,2106.90.9X,EX
,,2106.90.70,Ex,2106.90.20,A,2106.90.99,Sug
,,2106.90.80,Bg,2106.90.40,C,,
,,2106.90.90,Bg,2106.90.50,C,,
,,2106.90.9V,Ex,2106.90.60,A,,
,,,,,,,
2201.10,Mineral and aerated waters not cntg sugar or sweetening matter,2201.10.00,D,2201.10.00,A,2201.10.01,C
,,,,,,2201.10.02,C
,,,,,,,
2201.90,Ice & snow and potable waters nes not cntg sugar or sweeteners,2201.90.00,C,2201.90.00,D,2201.90.01,C
,,,,,,,
,,,,,,2201.90.02,C
,,,,,,2201.90.99,C
,,,,,,,
2202.10,"Waters incl mineral & aerated,containing sugar or sweetening",2202.10.00,C,2202.10.00,C,2202.10.01,C
,,,,,,,
2202.90,"Non-acloholic beverages nes, excluding fruit or veg juices of",2202.90.10,A,2202.90.10,B,2202.90.01,A
,,2202.90.90,Bg,2202.90.20,C,2202.90.99,A
,,,,2202.90.30,C+,,
,,,,2202.90.35,C+,,
,,,,2202.90.39,,,
,,,,2202.90.90,A,,
,,,,,,,
2203.00,Beer made from malt,2203.00.00,A,2203.00.00,A,2203.00.01,B+
,,,,,,,
2204.10,"Grape wines, sparkling",2204.10.00,C,2204.10.00,A,2204.10.01,C
,,,,,,,
2204.21,"Grape wines nes, incl fort & grape must, unfermented by add al",2204.21.10,B,2204.21.20,A,2204.21.01,B
,,2204.21.21,B,2204.21.40,A,2204.21.02,C
,,2204.21.22,B,2204.21.60,A,2204.21.03,C
,,2204.21.23,B,2204.21.80,A,2204.21.04,A
,,2204.21.24,B,,,2204.21.99,C
,,2204.21.25,B,,,,
,,2204.21.26,B,,,,
,,2204.21.27,B,,,,
,,2204.21.28,B,,,,
,,2204.21.29,B,,,,
,,2204.21.30,B,,,,
,,,,,,,
2204.29,"Grape wines nes, incl fort & grape must, unfermented by add",2204.29.10,C,2204.29.20,A,2204.29.99,C
,,2204.29.21,C,2204.29.40,A,,
,,2204.29.22,C,2204.29.60,A,,
,,2204.29.23,C,2204.29.80,A,,
,,2204.29.24,C,,,,
,,2204.29.25,C,,,,
,,2204.29.26,C,,,,
,,2204.29.27,C,,,,
,,2204.29.28,C,,,,
,,2204.29.29,C,,,,
,,2204.29.30,C,,,,
,,,,,,,
2204.30,"Grape must nes, unfermented, other than that of heading No",2204.30.00,Bg,2204.30.00,A,2204.30.01,C
,,,,,,,
2205.10,Vermouth & other grape wines flav with plants or arom subst in,2205.10.10,Bg,2205.10.30,A,2205.10.01,B
,,2205.10.20,Bg,2205.10.60,A,2205.10.99,B
,,,,,,,
